"album_code";"album_id";"album";"track_id";"main_track_id";"titre";"version";"alternate";"composer_avant";"composer_proposé";"action";"justification";"artist";"publisher";"ayants_droit_structurés";"validation"
"PGO0054";"f8c558d97feed65e";"Dark Beats";"0dde0f67ae0480d24215ceb40374d061";"";"Dark Beats Sci-Fi";"Main";"false";"Ugly Mac Beer";"Ugly Mac Beer";"needs-review";"écart-ayant-droit-à-valider";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629743| · Ugly Mac Beer|Composer|SACEM|547737710| · Yann KORNOWICZ|Composer|SACEM|803177360|";"needs-review"
"PGO0054";"f8c558d97feed65e";"Dark Beats";"269768afa73fefc5abcb499386e61750";"";"Dark Beats Sci-Fi Underscore Low Beat";"Main";"false";"Ugly Mac Beer";"Ugly Mac Beer";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0054";"f8c558d97feed65e";"Dark Beats";"7eef89122f9bed0be7ce82a956a2e663";"";"Dark Beats Suspense";"Main";"false";"Ugly Mac Beer";"Ugly Mac Beer";"needs-review";"écart-ayant-droit-à-valider";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629743| · Ugly Mac Beer|Composer|SACEM|547737710| · Yann KORNOWICZ|Composer|SACEM|803177360|";"needs-review"
"PGO0054";"f8c558d97feed65e";"Dark Beats";"3b6b801a4d96b93a90139fff14c7af6a";"";"Dark Beats Suspense Underscore Low Beat";"Main";"false";"Ugly Mac Beer";"Ugly Mac Beer";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0054";"f8c558d97feed65e";"Dark Beats";"dae142931cf7f7f9f2f5147f73fd8a96";"";"Dark Beats Haunting";"Main";"false";"Ugly Mac Beer";"Ugly Mac Beer";"needs-review";"écart-ayant-droit-à-valider";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629743| · Ugly Mac Beer|Composer|SACEM|547737710| · Yann KORNOWICZ|Composer|SACEM|803177360|";"needs-review"
"PGO0054";"f8c558d97feed65e";"Dark Beats";"8ed018c3a52b190ede0d1fcf3556041f";"";"Dark Beats Haunting Underscore Low Beat";"Main";"false";"Ugly Mac Beer";"Ugly Mac Beer";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0054";"f8c558d97feed65e";"Dark Beats";"15ccd07513bcc76112cb6866befeebae";"";"Dark Beats Submerged";"Main";"false";"Ugly Mac Beer";"Ugly Mac Beer";"needs-review";"écart-ayant-droit-à-valider";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629743| · Ugly Mac Beer|Composer|SACEM|547737710| · Yann KORNOWICZ|Composer|SACEM|803177360|";"needs-review"
"PGO0054";"f8c558d97feed65e";"Dark Beats";"e155ac069deddb4ced688427a221043d";"";"Dark Beats Submerged Underscore Low Beat";"Main";"false";"Ugly Mac Beer";"Ugly Mac Beer";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0054";"f8c558d97feed65e";"Dark Beats";"3655abe47264bfd0dffcf7436094256f";"";"Dark Beats Action";"Main";"false";"Ugly Mac Beer";"Ugly Mac Beer";"needs-review";"écart-ayant-droit-à-valider";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629743| · Ugly Mac Beer|Composer|SACEM|547737710| · Yann KORNOWICZ|Composer|SACEM|803177360|";"needs-review"
"PGO0054";"f8c558d97feed65e";"Dark Beats";"02ae173ccedcdec23dd2c57af02673d3";"";"Dark Beats Action Underscore Low Beat";"Main";"false";"Ugly Mac Beer";"Ugly Mac Beer";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
